unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
100654,33000,35500,27200,28400,29983,31992,17500,16600,2097,3575,1,0,0,0,0,0,0,hbcu,latest
100663,47000,48400,38600,39400,47178,51431,16666,15832,2965,7395,0,0,0,0,0,0,0,,latest
100690,NA,47600,30300,35400,NA,34613,12875,13385,371,457,0,0,0,0,0,0,0,,latest
100706,47000,52000,36300,40300,56158,61771,14502,13905,1007,3138,0,0,0,0,0,0,0,,latest
100724,29000,30600,23500,24400,30936,32520,17750,17500,1664,2690,1,0,0,0,0,0,0,hbcu,latest
100751,45500,51600,42900,42400,49581,56012,17750,17986,2770,11137,0,0,0,0,0,0,0,,latest
100760,28900,32400,23300,25900,28934,31468,6500,5500,230,456,0,0,0,0,0,0,0,,latest
100812,36700,42400,30800,36200,44922,48014,15650,14861,806,1806,0,0,0,0,0,0,0,,latest
100830,34600,38000,29400,32100,37928,42659,13000,13119,1443,2676,0,1,0,0,0,0,0,pbi,latest
100858,53800,56300,41900,43100,57158,61406,18750,17750,1370,6774,0,0,0,0,0,0,0,,latest
100937,NA,53100,33800,36700,48826,53677,12000,16000,96,433,0,0,0,0,0,0,0,,latest
101028,28500,31300,22000,26000,31298,34321,6250,5900,327,553,0,1,0,0,0,0,0,pbi,latest
101116,32200,40200,24700,32500,29380,32897,12643,13000,6874,9946,0,0,0,0,0,0,0,,latest
101143,40000,42700,29600,33700,35047,37816,5362,5500,212,451,0,0,0,0,0,0,0,,latest
101161,29700,33900,24900,26600,30330,33539,5746,5500,1316,2866,0,0,0,0,0,0,0,,latest
101189,32000,40700,26900,33400,37224,42211,15750,15000,1041,1809,0,1,0,0,0,0,0,pbi,latest
101240,28200,30200,22900,24300,NA,31231,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101277,NA,NA,NA,NA,NA,17702,5500,6100,82,112,0,0,0,0,0,0,0,,latest
101286,28700,29800,23600,24900,NA,30306,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101295,31700,34800,25900,29200,33739,37446,8200,8200,1019,2279,0,0,0,0,0,0,0,,latest
101301,25700,27300,21800,23000,NA,27797,NA,NA,NA,NA,0,1,0,0,0,0,0,pbi,latest
101365,35000,41600,24500,30100,33884,38007,10662,11756,6447,9346,0,0,0,0,0,0,0,,latest
101435,31300,43600,29000,34600,38593,46532,25000,20000,198,615,0,0,0,0,0,0,0,,latest
101453,NA,NA,NA,NA,NA,41353,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101462,25600,27600,20300,21500,NA,25880,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101480,35200,38100,28700,31800,39103,43146,14000,14000,1752,4197,0,0,0,0,0,0,0,,latest
101505,31700,33800,26300,29400,34369,36997,3500,4500,1477,3199,0,0,0,0,0,0,0,,latest
101514,28100,32200,24400,27000,31623,35178,6126,6010,1374,3250,0,0,0,0,0,0,0,,latest
101569,25300,26600,21800,22700,NA,29498,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
101587,36300,40400,25500,29700,35125,39584,12500,13000,1117,2005,0,1,0,0,0,0,0,pbi,latest
101602,30000,32000,24300,25500,NA,32036,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
101648,NA,49800,32400,33600,50437,55782,4750,5500,77,248,0,0,0,0,0,0,0,,latest
101675,27900,29500,21200,23100,28795,30166,16500,15691,869,1221,1,0,0,0,0,0,0,hbcu,latest
101693,33200,38700,31100,32700,36393,41687,22223,19000,318,785,0,0,0,0,0,0,0,,latest
101709,34500,36100,26400,28000,36752,39133,15745,16000,397,1228,0,0,0,0,0,0,0,,latest
101736,28000,30800,23500,25600,28804,32116,5500,5500,601,1224,0,0,0,0,0,0,0,,latest
101879,38000,42800,28600,32100,41298,43633,16250,15781,1075,3058,0,0,0,0,0,0,0,,latest
101897,29400,31700,23800,26200,29762,32882,3500,4400,254,598,0,0,0,0,0,0,0,,latest
101912,32600,37400,24400,25800,33724,36092,20500,21500,391,966,1,0,0,0,0,0,0,hbcu,latest
101994,25500,26800,NA,25300,NA,25450,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102030,27000,28300,22700,23500,NA,27738,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102049,59100,59800,49500,45200,57744,54932,18538,15750,139,1010,0,0,0,0,0,0,0,,latest
102058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102067,30000,31100,24800,25900,NA,33221,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102076,28700,30700,24400,25700,30513,33915,5750,6450,319,623,0,0,0,0,0,0,0,,latest
102094,44500,46800,32200,35100,40738,44838,18750,17750,2195,5553,0,0,0,0,0,0,0,,latest
102234,39200,51300,29600,34800,40999,50757,19500,21500,155,568,0,0,0,0,0,0,0,,latest
102270,28900,33700,24000,24900,30387,32891,16375,16000,414,571,1,0,0,0,0,0,0,hbcu,latest
102298,24000,23900,20400,24200,24219,27033,14750,15000,636,868,1,0,0,0,0,0,0,hbcu,latest
102313,27100,28000,22400,24400,NA,28179,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
102368,35400,41100,29400,34300,37055,41914,17000,15985,4311,8378,0,0,0,0,0,0,0,,latest
102377,39400,42200,33800,34500,41139,44811,22937,21250,564,1374,1,0,0,0,0,0,0,hbcu,latest
102395,NA,NA,NA,35700,NA,46997,10819,10976,31,73,0,0,0,0,0,0,0,,latest
102429,30100,31300,25300,26600,NA,32403,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102553,46000,51200,37200,41500,40945,45334,12500,11231,1411,3942,0,0,0,0,0,0,0,,latest
102580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
102614,41100,45100,30700,36500,39522,46319,12136,11283,897,2180,0,0,1,0,0,0,1,annhi;nanti,latest
102632,33700,39500,32300,35200,42414,46336,12498,10500,243,574,0,0,1,0,0,0,1,annhi;nanti,latest
102669,39200,45300,29800,37500,NA,45907,11250,12696,63,186,0,0,1,0,0,0,1,annhi;nanti,latest
102711,38400,45600,32300,43200,NA,44687,NA,5500,14,25,0,0,0,0,0,0,0,,latest
102845,36900,46400,24500,30500,33397,35567,12051,11884,2594,4191,0,0,0,0,0,0,0,,latest
103501,30900,32000,25800,27200,30084,33844,7199,7199,246,380,0,0,0,0,0,0,0,,latest
103741,24400,24500,16600,20500,21641,23223,7955,8028,1036,1400,0,0,0,0,0,0,0,,latest
103893,24900,27200,24500,28800,34264,36377,9229,9298,2272,3364,0,0,0,0,0,0,0,,latest
103909,24900,27200,24500,28800,34264,36377,9229,9298,2272,3364,0,0,0,0,0,0,0,,latest
103927,24900,27200,24500,28800,34264,36377,9229,9298,2272,3364,0,0,0,0,0,0,0,,latest
103954,NA,18800,NA,NA,NA,24735,NA,4750,52,66,0,0,0,0,0,0,0,,latest
103963,25100,28100,27000,30500,26733,28099,10657,10661,12213,14470,0,0,0,0,0,0,0,,latest
104090,21900,23700,19400,21400,29508,31326,9491,9500,2451,3360,0,0,0,0,0,0,0,,latest
104151,53100,55500,40300,42200,55360,58779,13750,13610,18708,47935,0,0,0,0,0,1,0,hsi,latest
104160,30000,32000,23900,25600,34119,35209,4500,4500,165,292,0,0,0,0,0,1,0,hsi,latest
104179,51700,56000,39300,41800,52698,55966,13000,13750,4240,12352,0,0,0,0,0,1,0,hsi,latest
104346,28600,31500,24400,28300,34372,37886,6804,6157,318,642,0,0,0,0,0,1,0,hsi,latest
104391,NA,22600,NA,17900,NA,24486,NA,7000,44,61,0,0,0,0,0,0,0,,latest
104425,31900,34300,25700,27000,35303,37218,6500,5500,289,513,0,0,0,0,0,1,0,hsi,latest
104443,21300,22000,16700,18500,21571,23535,7667,7851,1289,1839,0,0,0,0,0,0,0,,latest
104568,22100,23000,18700,19600,25496,27582,6285,6312,762,1433,0,0,0,0,0,0,0,,latest
104577,32500,35700,28000,29100,32481,34641,NA,NA,NA,NA,0,0,0,0,0,1,0,hsi,latest
104586,64400,70300,48000,51400,71498,76224,15000,14250,2108,6737,0,0,0,0,0,0,0,,latest
104665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
104708,35300,38300,28400,31300,38697,41097,5000,4500,1747,3199,0,0,0,0,0,1,0,hsi,latest
104717,44000,58500,24700,36000,32750,44013,10764,12500,28442,59279,0,0,0,0,0,0,0,,latest
105145,34300,39000,30700,36700,38423,43557,4500,4500,820,1454,0,0,0,0,0,1,0,hsi,latest
105154,38100,41500,30200,32900,38312,40826,4603,4500,2252,4302,0,0,0,0,0,1,0,hsi,latest
105206,29100,32900,24700,27400,32915,35430,9500,8000,429,707,0,0,0,0,0,1,0,hsi,latest
105215,37500,41600,29900,33600,43078,46267,10588,10247,2332,4633,0,0,0,0,0,0,0,,latest
105297,22200,23400,18200,19000,NA,26817,NA,NA,NA,NA,0,0,0,1,0,0,0,tribal,latest
105330,42700,44600,34600,36900,48266,51271,12500,12916,3864,12428,0,0,0,0,0,1,0,hsi,latest
105349,29200,31300,22500,24400,NA,30543,NA,NA,NA,NA,0,0,0,0,0,0,1,nanti,latest
105428,33000,36000,25800,29600,34900,38024,5250,5250,1496,2328,0,0,0,0,0,1,0,hsi,latest
105525,32300,35000,26600,28700,35541,37341,4875,4500,3001,5270,0,0,0,0,0,1,0,hsi,latest
105534,27800,30600,25400,28700,35579,38155,9500,9500,7803,12677,0,0,0,0,0,0,0,,latest
105543,NA,NA,NA,NA,NA,32409,4788,5250,314,499,0,0,0,0,0,0,0,,latest
105589,31200,34300,26800,28500,35667,39496,12500,12500,185,360,0,0,0,0,0,0,0,,latest
105659,41300,45000,31400,37200,43049,47384,7917,7917,869,1405,0,0,0,0,0,0,0,,latest
105668,38800,43400,29500,35100,29124,35718,4500,4375,2015,3357,0,0,0,0,0,1,0,hsi,latest
105677,NA,29000,NA,25200,NA,35057,NA,7307,22,35,0,0,0,0,0,0,0,,latest
105747,39200,42500,33100,34900,42508,44061,5243,4500,670,1311,0,0,0,0,0,1,0,hsi,latest
105792,31300,33400,27100,28700,35406,37696,4847,4500,436,700,0,0,0,0,0,1,0,hsi,latest
105899,NA,34900,NA,32600,42964,46781,6500,6251,174,572,0,0,0,0,0,1,0,hsi,latest
106041,44400,48100,33300,37000,49872,52777,10827,11183,3443,7166,0,0,0,0,0,0,0,,latest
106148,30900,34000,25500,29000,36743,38338,7500,6762,598,972,0,0,0,0,0,0,0,,latest
106245,34800,39500,30600,34600,38630,42786,15500,14500,2455,4656,0,0,0,0,0,0,0,,latest
106263,63300,69000,64500,68000,67214,71116,16408,13000,200,527,0,0,0,0,0,0,0,,latest
106306,NA,25100,19600,21000,25851,26637,9250,8250,344,488,1,0,0,0,0,0,0,hbcu,latest
106315,NA,16400,NA,NA,NA,13231,6333,6333,180,212,0,0,0,0,0,0,0,,latest
106324,NA,NA,NA,NA,NA,NA,NA,7000,22,33,0,0,0,0,0,0,0,,latest
106342,37200,44800,NA,31400,32910,42733,9500,10699,114,364,0,0,0,0,0,0,0,,latest
106351,NA,19000,NA,17900,NA,20235,NA,9833,107,119,0,0,0,0,0,0,0,,latest
106397,48600,52700,38100,40900,48344,54333,15000,15749,1874,8167,0,0,0,0,0,0,0,,latest
106412,28900,30600,22700,23900,31954,33831,14250,14328,883,1485,1,0,0,0,0,0,0,hbcu,latest
106449,29300,32900,24200,26600,31244,32713,6188,5500,384,846,0,0,0,0,0,0,0,,latest
106458,32200,36600,28100,30900,36515,40605,16000,15000,2310,5544,0,0,0,0,0,0,0,,latest
106467,33300,38600,27000,31600,35154,40016,11750,11350,2006,4581,0,0,0,0,0,0,0,,latest
106485,31200,35800,23300,27300,28238,32946,11179,11364,766,1420,0,0,0,0,0,0,0,,latest
106494,17800,18500,18700,18500,NA,23123,7599,7931,119,156,0,0,0,0,0,0,0,,latest
106546,46000,48100,45000,46200,60450,61333,9500,9500,400,730,0,0,0,0,0,0,0,,latest
106625,25500,29100,22800,25600,28369,31569,6937,6000,298,559,0,0,0,0,0,0,0,,latest
106704,37900,42500,29900,32600,38134,42426,12981,13000,1661,4554,0,0,0,0,0,0,0,,latest
106713,NA,43000,29500,34200,37372,42350,13382,12876,159,423,0,0,0,0,0,0,0,,latest
106795,25900,28000,22400,23800,NA,32694,NA,NA,NA,NA,0,0,0,0,0,1,0,hsi,latest
106810,NA,29600,NA,24200,35299,36442,10500,13918,43,112,0,0,0,0,0,0,0,,latest
106883,25000,26800,21100,22300,NA,27892,4500,4750,71,119,0,0,0,0,0,0,0,,latest
106908,NA,NA,NA,16300,22258,23559,9833,9833,323,470,0,0,0,0,0,0,0,,latest
106980,26300,28100,21800,24900,26720,29539,7000,6250,718,1147,0,0,0,0,0,0,0,,latest
106999,28200,30300,22900,26400,NA,30945,8200,7085,203,392,0,0,0,0,0,0,0,,latest
107044,44300,47000,32800,35600,45028,48980,22214,21601,283,1777,0,0,0,0,0,0,0,,latest
107071,40500,40400,27800,29300,36698,39423,12000,12000,798,1763,0,0,0,0,0,0,0,,latest
107080,38200,44500,NA,35100,40019,46451,19488,19500,86,438,0,0,0,0,0,0,0,,latest
107099,NA,NA,NA,NA,NA,16502,NA,8000,71,88,0,0,0,0,0,0,0,,latest
107123,NA,NA,NA,NA,NA,68062,6495,7500,27,53,0,0,0,0,0,0,0,,latest
107141,45500,55400,34900,45300,46974,49481,15735,17000,186,761,0,0,0,0,0,0,0,,latest
107220,NA,23600,NA,18900,NA,18604,6333,5531,223,319,0,0,0,0,0,0,0,,latest
107293,NA,NA,NA,15500,NA,23379,3742,4398,48,82,0,0,0,0,0,0,0,,latest
107318,25100,26700,20700,22200,NA,29840,NA,NA,NA,NA,0,1,0,0,0,0,0,pbi,latest
107327,27300,30800,23600,26000,NA,31416,NA,NA,NA,12,0,0,0,0,0,0,0,,latest
107442,NA,19200,NA,NA,NA,15275,NA,9500,NA,25,0,0,0,0,0,0,0,,latest
107460,26100,28900,23200,25000,30621,32639,7725,5928,196,348,0,0,0,0,0,0,0,,latest
107488,29000,32500,NA,30500,NA,40780,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
107512,47400,46000,34600,34600,40278,47024,14750,15000,112,602,0,0,0,0,0,0,0,,latest
107521,28400,31000,22700,25700,33412,35474,6896,6500,150,249,0,0,0,0,0,0,0,,latest
107549,25600,28100,19400,22600,NA,27812,9415,7713,282,411,0,0,0,0,0,0,0,,latest
107558,38500,38600,28600,28700,38866,40760,10900,11000,126,336,0,0,0,0,0,0,0,,latest
107585,29400,31600,25400,28600,32287,34413,7746,6300,324,627,0,0,0,0,0,0,0,,latest
107600,24300,27300,20900,23600,29742,31824,15000,14750,501,743,1,0,0,0,0,0,0,hbcu,latest
107619,24900,26200,19500,21000,NA,28134,NA,3500,NA,24,0,0,0,0,0,0,0,,latest
107637,27100,29700,21500,24000,28098,29703,6562,6186,440,596,0,1,0,0,0,0,0,pbi,latest
107655,NA,NA,NA,NA,NA,20044,NA,9833,35,52,0,0,0,0,0,0,0,,latest
107664,27000,30700,22000,25100,27736,30455,7754,7000,2738,4050,0,0,0,0,0,0,0,,latest
107725,26000,28600,24500,26300,NA,31614,NA,3500,NA,31,0,0,0,0,0,0,0,,latest
107743,23400,24100,20500,22100,NA,28737,6000,4875,61,114,0,0,0,0,0,0,0,,latest
107789,NA,NA,NA,17200,NA,19785,7692,9753,63,133,0,0,0,0,0,0,0,,latest
107831,NA,17200,NA,12600,NA,18496,9199,9500,66,91,0,0,0,0,0,0,0,,latest
107840,NA,NA,NA,NA,NA,14679,NA,22625,NA,30,1,0,0,0,0,0,0,hbcu,latest
107877,31000,36400,27100,29300,36317,38828,8411,9500,98,307,0,0,0,0,0,0,0,,latest
107974,28900,32700,25500,28800,29146,32330,7705,7000,352,560,0,0,0,0,0,0,0,,latest
107983,35500,39000,27000,30400,37385,40383,14000,12500,918,2024,0,0,0,0,0,0,0,,latest
107992,27300,31200,23200,26400,30673,34767,3774,4500,241,391,0,0,0,0,0,0,0,,latest
108065,NA,NA,NA,NA,NA,20903,NA,NA,NA,11,0,0,0,0,0,0,0,,latest
108092,30800,35000,27900,30700,34670,37858,10965,10750,1014,2390,0,0,0,0,0,0,0,,latest
108232,44800,47300,28600,32800,32693,35980,10500,11000,2746,4810,0,0,0,0,0,0,0,,latest
108269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
108667,39700,40500,28200,29000,NA,40809,NA,9500,65,78,0,0,0,0,1,1,0,aanapii;hsi,latest
108807,35200,35500,25500,27200,36321,37963,8519,7888,146,226,0,0,0,0,0,1,0,hsi,latest
108852,NA,38200,18900,21200,NA,25632,12000,12000,107,271,0,0,0,0,0,0,0,,latest
108861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
108870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
108977,NA,NA,NA,NA,NA,20899,4194,4923,64,97,0,0,0,0,0,0,0,,latest
109040,31700,35500,24500,27400,35992,38121,9500,9500,2569,3809,0,0,0,0,0,0,0,,latest
109208,35800,38100,25700,27900,35381,36795,9443,9354,1710,2210,0,0,0,0,1,1,0,aanapii;hsi,latest
109350,31300,34500,23400,25100,29057,31267,9210,8619,1457,1795,0,0,0,0,0,1,0,hsi,latest
109651,56400,62300,48400,48800,58698,58753,28500,26000,309,719,0,0,0,0,0,0,0,,latest
109721,27500,27900,20000,20500,NA,20877,NA,9500,NA,185,0,0,0,0,0,0,0,,latest
109730,NA,25300,NA,19600,NA,19916,NA,9500,NA,77,0,0,0,0,0,0,0,,latest
109785,52100,55900,44400,48300,50678,60930,20500,19710,1061,3391,0,0,0,0,1,1,0,aanapii;hsi,latest
109819,34300,36000,25800,27000,31496,33356,9500,9500,533,695,0,0,0,0,0,1,0,hsi,latest
109907,31100,35000,23300,26000,NA,31793,3347,3463,104,134,0,0,0,0,0,1,0,hsi,latest
109934,18700,21100,18600,20400,NA,21316,6333,6333,284,410,0,0,0,0,0,0,0,,latest
110060,NA,NA,NA,NA,NA,35976,NA,7648,31,48,0,0,0,0,0,0,0,,latest
110097,40900,50700,34500,38700,51508,54476,19500,19000,588,2153,0,0,0,0,0,0,0,,latest
110194,NA,49600,37600,40500,60772,64347,9500,9500,151,237,0,0,0,0,0,0,0,,latest
110219,28400,36100,27800,34800,32118,37985,13000,13763,1155,1615,0,0,0,0,0,0,0,,latest
110246,34400,37600,27200,29300,34682,37882,9289,8250,817,1137,0,0,0,0,0,1,0,hsi,latest
110316,NA,NA,NA,38300,NA,56397,18750,18750,81,132,0,0,0,0,0,0,0,,latest
110334,38700,40600,27900,29300,37526,39618,10500,9500,257,349,0,0,0,0,0,1,0,hsi,latest
110361,40700,47500,36200,40000,52677,58531,21500,20500,2075,5664,0,0,0,0,0,1,0,hsi,latest
110370,45000,48000,36300,36200,43345,44164,23875,19500,154,406,0,0,0,0,0,0,0,,latest
110398,131000,137100,97700,100800,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
110404,NA,106300,NA,68500,NA,142597,NA,12000,NA,41,0,0,0,0,0,0,0,,latest
110413,54900,60200,40300,43700,65443,64258,18750,18970,459,1686,0,0,0,0,0,1,0,hsi,latest
110422,68400,74300,51000,54700,81486,82835,15000,15396,1055,5152,0,0,0,0,1,0,0,aanapii,latest
110468,66100,65200,58100,60000,NA,51275,12500,12500,132,277,0,0,0,0,0,0,0,,latest
110486,49000,50100,37500,39100,49387,51171,11000,11270,2181,4422,0,0,0,0,0,1,0,hsi,latest
110495,47700,48500,38500,39300,53031,54955,11000,11750,1519,3504,0,0,0,0,0,1,0,hsi,latest
110510,46100,48800,34700,37400,49903,51273,12500,12445,2890,6352,0,0,0,0,0,1,0,hsi,latest
110529,57300,58000,42700,42900,62763,64008,12500,13437,2960,7390,0,0,0,0,1,1,0,aanapii;hsi,latest
110538,52800,55400,40600,42900,54870,58630,13500,14500,2699,6673,0,0,0,0,0,1,0,hsi,latest
110547,44000,48500,34100,38300,51907,53788,12000,11902,2914,5345,0,0,0,0,0,1,0,hsi,latest
110556,46500,48500,36000,37200,49057,51924,11750,12463,3061,7327,0,0,0,0,1,1,0,aanapii;hsi,latest
110565,50200,51800,37400,38500,55826,56954,10957,12000,4061,10611,0,0,0,0,1,1,0,aanapii;hsi,latest
110574,55000,58200,42000,45200,62248,64657,12500,12500,2517,5367,0,0,0,0,1,1,0,aanapii;hsi,latest
110583,51600,53000,39400,40000,55487,56802,12000,12227,5062,11559,0,0,0,0,1,1,0,aanapii;hsi,latest
110592,48600,49900,36200,37200,50109,51588,11500,11966,3717,7130,0,0,0,0,1,1,0,aanapii;hsi,latest
110608,48400,49700,36700,37400,49859,51871,11333,12000,5601,11863,0,0,0,0,0,1,0,hsi,latest
110617,51900,54200,40300,41800,57507,58491,12500,12500,4590,10436,0,0,0,0,1,1,0,aanapii;hsi,latest
110635,75300,79000,57000,57600,79850,84865,11000,12000,2270,6656,0,0,0,0,1,0,0,aanapii,latest
110644,69600,68100,45200,45300,70290,71209,11000,11000,3353,9192,0,0,0,0,1,0,0,aanapii,latest
110653,66200,65800,43700,44300,66705,67970,13000,13820,2917,8264,0,0,0,0,1,1,0,aanapii;hsi,latest
110662,74300,73200,52900,52000,68760,72864,11723,12983,3365,9436,0,0,0,0,1,0,0,aanapii,latest
110671,56400,55300,36000,36800,56142,59554,13757,14944,3335,8897,0,0,0,0,1,1,0,aanapii;hsi,latest
110680,72900,69600,47200,48200,74760,77893,14552,14778,3302,8947,0,0,0,0,1,0,0,aanapii,latest
110699,158800,156800,NA,105400,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
110705,56800,62400,41400,42800,64732,68092,11167,11875,2368,7061,0,0,0,0,1,1,0,aanapii;hsi,latest
110714,51900,53800,37900,38400,56538,59302,14710,14334,1986,6096,0,0,0,0,1,1,0,aanapii;hsi,latest
110778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
110875,NA,NA,NA,NA,NA,28158,4551,4369,57,86,0,0,0,0,0,0,0,,latest
111045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
111054,23400,23700,20600,21300,NA,23629,5263,6028,70,103,0,0,0,0,0,0,0,,latest
111081,46600,50600,32600,34200,37283,36250,20000,16994,131,420,0,0,0,0,0,0,0,,latest
111188,87300,87800,75600,76700,104756,100202,16356,16889,112,407,0,0,0,0,0,0,0,,latest
111391,NA,96600,NA,65300,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
111434,35700,37900,32400,35500,NA,51687,NA,9272,29,46,0,0,0,0,0,1,0,hsi,latest
111461,42700,45800,32400,34000,40763,42367,7762,6375,401,678,0,0,0,0,1,1,0,aanapii;hsi,latest
111513,27700,29200,19000,21500,21213,21386,6333,6279,161,271,0,0,0,0,0,0,0,,latest
111638,51400,52400,34400,40200,42426,46598,20752,20245,134,242,0,0,0,0,1,1,0,aanapii;hsi,latest
111708,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111717,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111726,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111744,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111762,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111799,25500,27600,21300,23400,30376,32555,6777,6729,955,1332,0,0,0,0,0,0,0,,latest
111887,35400,36600,27100,27900,35330,36664,9155,8350,828,1145,0,0,0,0,0,0,0,,latest
111896,31300,34600,24100,25400,NA,35160,5140,5500,49,68,0,0,0,0,0,1,0,hsi,latest
111920,39600,41300,30500,31900,41627,44450,9500,8973,206,294,0,0,0,0,1,1,0,aanapii;hsi,latest
111939,34700,36700,27000,28200,36389,37516,NA,4325,36,49,0,0,0,0,0,1,0,hsi,latest
111948,54400,56600,46400,46900,64466,67467,19000,17750,474,2390,0,0,0,0,0,0,0,,latest
111966,78500,82700,65200,73200,NA,74428,16902,14750,114,196,0,0,0,0,0,0,0,,latest
112075,54100,50800,43700,40800,67992,58783,18750,19000,382,1204,0,0,0,0,1,1,0,aanapii;hsi,latest
112084,34500,42500,23900,31000,34748,39718,15750,13000,133,343,0,0,0,0,0,0,0,,latest
112127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
112172,33700,36100,25200,26600,35769,36939,7750,5500,273,402,0,0,0,0,0,1,0,hsi,latest
112181,NA,NA,NA,NA,NA,NA,4889,5495,31,84,0,0,0,0,0,0,0,,latest
112190,40400,41800,30600,31600,39778,41474,8399,7497,573,712,0,0,0,0,1,0,0,aanapii,latest
112251,NA,71400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
112260,NA,93200,NA,68200,NA,105942,13500,11948,31,178,0,0,0,0,0,0,0,,latest
112288,25300,27100,20300,21200,30665,32138,7690,7000,486,693,0,0,0,0,0,0,0,,latest
112367,NA,36200,NA,33800,NA,43006,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
112385,41400,43100,31400,32700,NA,43914,8134,7683,351,475,0,0,0,0,1,1,0,aanapii;hsi,latest
112394,NA,60400,NA,37600,42658,43709,15750,18334,153,372,0,0,0,0,0,0,0,,latest
112455,NA,23500,NA,24800,NA,23359,6333,6333,86,127,0,0,0,0,0,0,0,,latest
112525,NA,108100,106500,109800,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
112561,33000,33600,24500,25700,NA,34920,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
112570,NA,39500,23900,26900,43346,41643,12000,13167,260,537,0,0,0,0,0,0,0,,latest
112686,NA,NA,NA,NA,NA,32747,NA,6463,67,78,0,0,0,0,0,1,0,hsi,latest
112826,36300,38900,26100,29200,NA,35798,4750,4750,202,269,0,0,0,0,1,1,0,aanapii;hsi,latest
113096,33900,34900,26200,27500,35985,38081,9276,8563,660,917,0,0,0,0,1,1,0,aanapii;hsi,latest
113111,36400,39000,28900,30100,NA,37703,NA,NA,NA,NA,0,0,0,0,0,1,0,hsi,latest
113193,39300,42100,30700,33200,41551,42739,10250,9500,391,648,0,0,0,0,0,1,0,hsi,latest
113218,32600,33300,25000,26500,33599,35992,5250,5136,108,133,0,0,0,0,0,0,0,,latest
113236,38400,41100,29800,31400,39849,40514,8220,7500,309,440,0,0,0,0,1,1,0,aanapii;hsi,latest
113333,48800,50200,36100,37100,50426,51602,7000,6495,741,1174,0,0,0,0,1,1,0,aanapii;hsi,latest
113449,NA,NA,NA,21400,NA,20048,5500,6359,117,181,0,0,0,0,0,0,0,,latest
113573,34900,36700,27700,28400,33234,34631,NA,5261,60,72,0,0,0,0,0,1,0,hsi,latest
113582,46900,42300,NA,33700,NA,54686,29425,24530,35,74,0,0,0,0,0,0,0,,latest
