unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
219046,38600,40500,27900,31300,37945,42393,16148,15000,449,1548,0,0,0,0,0,0,0,,latest
219082,39200,43100,31700,35400,41226,46966,13612,14250,379,1329,0,0,0,0,0,0,0,,latest
219091,35600,40900,30900,35600,52471,51754,12125,19500,102,505,0,0,0,0,0,0,0,,latest
219125,NA,21300,NA,19600,NA,25044,6333,7083,69,116,0,0,0,0,0,0,0,,latest
219143,33500,38900,30000,34900,43785,45724,9500,9888,499,1619,0,0,0,0,0,0,0,,latest
219170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219189,37600,45400,30800,40300,39789,47285,9311,8403,214,755,0,0,0,0,0,0,0,,latest
219198,33500,39400,26600,34600,44149,48714,12979,14750,132,399,0,0,0,0,0,0,0,,latest
219204,29400,39500,24400,31200,28021,31950,19874,20120,1249,1771,0,0,0,0,0,0,0,,latest
219240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219259,34300,37300,28800,33400,37602,42830,16314,15750,242,947,0,0,0,0,0,0,0,,latest
219277,19500,20600,16800,18400,NA,21526,NA,NA,NA,NA,0,0,0,1,0,0,0,tribal,latest
219338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219347,52600,62400,50500,56400,64217,66297,19500,17306,158,987,0,0,0,0,0,0,0,,latest
219356,48800,50200,36700,41100,48109,52417,15500,16246,903,4880,0,0,0,0,0,0,0,,latest
219374,19600,20500,NA,16900,NA,25218,NA,NA,NA,NA,0,0,0,1,0,0,0,tribal,latest
219383,39000,44800,34700,38800,46677,51245,15250,16141,207,909,0,0,0,0,0,0,0,,latest
219392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219408,NA,26800,NA,18700,NA,28455,NA,NA,NA,NA,0,0,0,1,0,0,0,tribal,latest
219426,35900,40700,33800,36100,41265,46398,10249,9500,690,1885,0,0,0,0,0,0,0,,latest
219453,NA,24000,21100,21400,35781,32702,5147,6168,65,143,0,0,0,0,0,0,0,,latest
219471,53800,49500,34700,37100,47768,51509,17500,17500,837,3715,0,0,0,0,0,0,0,,latest
219480,34100,37900,27100,31800,34591,37962,10250,9500,509,977,0,0,0,0,0,0,0,,latest
219505,NA,NA,NA,NA,NA,32200,19000,19000,45,66,1,0,0,0,0,0,0,hbcu,latest
219587,NA,17400,NA,16800,NA,22201,NA,7667,11,33,0,0,0,0,0,0,0,,latest
219596,NA,34200,26200,28600,NA,38607,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219602,34800,38800,30000,31400,40165,41659,13750,13202,2215,5366,0,0,0,0,0,0,0,,latest
219639,52100,56000,44700,47100,60676,63611,15750,16170,340,747,0,1,0,0,0,0,0,pbi,latest
219709,54400,51500,35100,37100,47537,50319,18749,17500,446,2213,0,0,0,0,0,0,0,,latest
219718,32400,43100,27300,37800,35006,43085,15634,16750,1207,2483,0,0,0,0,0,0,0,,latest
219790,39900,44500,32300,39500,43452,49262,12000,13000,174,588,0,0,0,0,0,0,0,,latest
219806,41000,41300,31400,33900,39545,44452,13250,14519,363,1083,0,0,0,0,0,0,0,,latest
219824,28900,33200,24900,28400,32929,36185,8439,7249,1659,3198,0,0,0,0,0,0,0,,latest
219833,46400,50000,31400,36600,40892,50578,19715,17589,237,680,0,0,0,0,0,0,0,,latest
219842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
219851,NA,NA,NA,NA,NA,NA,7917,7917,94,146,0,0,0,0,0,0,0,,latest
219879,29300,32100,24000,26500,31447,34876,5500,5481,326,720,0,0,0,0,0,0,0,,latest
219888,31100,34600,25800,29100,34481,38174,6750,5500,373,1013,0,0,0,0,0,0,0,,latest
219903,22500,24000,19400,20600,30165,31594,9500,9500,2366,2787,0,0,0,0,0,0,0,,latest
219949,39200,43000,33400,37200,50204,59093,11080,11250,232,810,0,0,0,0,0,0,0,,latest
219976,53800,51500,34000,37800,53230,53623,12500,15350,373,1349,0,0,0,0,0,0,0,,latest
219994,27000,27900,23500,26000,NA,36996,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220057,26000,29800,23300,26300,28767,32311,3700,4475,259,538,0,0,0,0,0,0,0,,latest
220075,36900,40600,31900,32700,38413,41898,14500,14400,2036,5561,0,0,0,0,0,0,0,,latest
220118,22200,24500,18200,19600,NA,27429,5548,5457,266,368,0,0,0,0,0,0,0,,latest
220127,25700,28200,24600,25700,NA,35434,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220163,NA,22000,NA,18900,NA,23746,6950,6740,28,58,0,0,0,0,0,0,0,,latest
220181,33500,36300,27300,26000,32136,32162,13000,14250,165,294,1,0,0,0,0,0,0,hbcu,latest
220206,NA,31000,NA,26200,38141,38595,10000,11375,31,156,0,0,0,0,0,0,0,,latest
220215,38500,41100,28600,31500,40124,42415,13671,16750,140,655,0,0,0,0,0,0,0,,latest
220251,NA,29900,19800,22100,NA,34553,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220279,NA,28200,29500,29900,NA,38346,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220321,28200,31000,22800,25500,NA,31236,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220394,NA,24000,NA,24200,NA,33201,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220400,29200,31500,25400,26600,NA,33155,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220464,NA,39400,NA,32500,NA,44114,NA,5999,26,71,0,0,0,0,0,0,0,,latest
220473,31400,31700,27700,28200,35842,37472,10400,13500,171,572,0,0,0,0,0,0,0,,latest
220491,NA,NA,19900,25300,24750,27136,7917,7917,290,519,0,0,0,0,0,0,0,,latest
220516,42500,50300,38100,44100,47976,57020,16750,18000,519,1373,0,0,0,0,0,0,0,,latest
220552,25100,29600,25100,28200,35810,38269,9197,9500,4175,6528,0,0,0,0,0,0,0,,latest
220598,26700,27500,20200,21500,26206,28085,17750,16750,709,932,1,0,0,0,0,0,0,hbcu,latest
220604,28400,30200,22000,23800,30667,32112,17000,17000,485,649,1,0,0,0,0,0,0,hbcu,latest
220613,35900,37800,29200,30000,36317,41919,18041,19500,562,2160,0,0,0,0,0,0,0,,latest
220631,38100,41600,30000,34300,47190,51587,16694,15337,584,1413,0,0,0,0,0,0,0,,latest
220640,26900,28500,24900,25400,NA,34946,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220701,30700,36300,25000,28200,34717,38711,9500,11175,156,440,0,0,0,0,0,0,0,,latest
220710,39500,44000,29800,31800,41047,44160,14750,15000,206,641,0,0,0,0,0,0,0,,latest
220756,25400,28500,24000,26100,NA,34405,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220765,NA,17800,NA,18900,21656,22704,5500,5500,413,553,0,0,0,0,0,0,0,,latest
220792,NA,173400,NA,79400,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,hbcu,latest
220853,27700,30700,24200,25100,NA,33004,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220862,40000,43200,33200,35100,40994,44264,17500,15809,4652,9925,0,0,0,0,0,0,0,,latest
220871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
220978,41700,44400,32600,33600,41464,44447,15000,14093,3173,9021,0,0,0,0,0,0,0,,latest
220996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221050,26800,28800,25400,27000,NA,37989,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221096,27500,31400,25700,28000,34430,36784,3500,3000,37,98,0,0,0,0,0,0,0,,latest
221102,NA,31600,28300,30000,NA,39004,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221148,32100,38200,25900,30900,42870,47206,9832,9524,5199,9471,0,0,0,0,0,0,0,,latest
221184,30300,33600,25100,28200,33086,35147,8000,6500,927,1694,0,0,0,0,0,0,0,,latest
221236,24000,27800,23400,25400,35869,37906,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221281,22500,25100,20100,21100,NA,26821,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221333,28000,30900,23900,27500,NA,33839,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221351,NA,64800,NA,40800,66855,64735,13621,19349,58,505,0,0,0,0,0,0,0,,latest
221397,29600,32600,25300,27300,33260,35889,6636,6426,394,775,0,0,0,0,0,0,0,,latest
221430,NA,25900,NA,23100,NA,32199,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221485,27600,29100,22600,23800,NA,32323,NA,NA,NA,NA,0,1,0,0,0,0,0,pbi,latest
221494,30800,33500,29800,31600,NA,36839,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221519,NA,51700,NA,38200,56049,55160,13695,17750,65,410,0,0,0,0,0,0,0,,latest
221582,NA,27300,NA,22800,NA,27059,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221591,25000,27000,23400,24900,NA,37285,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221607,NA,25500,24500,26100,NA,33853,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221616,30300,31400,23900,26300,NA,37248,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221625,25400,26200,22000,23900,NA,34940,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221643,29300,33300,24100,27800,31709,35471,6750,5500,591,1460,0,0,0,0,0,0,0,,latest
221661,45200,46300,33400,35400,45356,49257,18250,18000,352,1191,0,0,0,0,1,1,0,aanapii;hsi,latest
221670,NA,101200,NA,100800,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
221731,40600,43700,31900,34300,42758,46048,15000,14000,226,641,0,0,0,0,0,0,0,,latest
221740,39500,42600,32000,33900,44445,47038,12500,12000,1416,4816,0,0,0,0,0,0,0,,latest
221759,63000,56700,44000,41600,49228,54188,16000,16000,2004,8214,0,0,0,0,0,0,0,,latest
221768,35000,40100,28100,30800,37492,41809,12687,12981,1086,2878,0,0,0,0,0,0,0,,latest
221829,NA,19800,NA,20300,NA,25606,7308,5500,136,245,0,0,0,0,0,0,0,,latest
221838,36000,39800,29400,31200,36742,39391,17660,17500,1763,3520,1,0,0,0,0,0,0,hbcu,latest
221847,43500,46700,32500,35400,43478,46379,11000,11000,1206,4100,0,0,0,0,0,0,0,,latest
221892,41000,49000,33100,40700,42890,48367,14590,14750,444,1425,0,0,0,0,0,0,0,,latest
221908,27200,29900,23300,25400,30059,32826,3500,3500,95,193,0,0,0,0,0,0,0,,latest
221953,34100,42500,27700,34400,38803,42829,13688,14250,396,945,0,0,0,0,0,0,0,,latest
221971,42700,49600,35100,40900,46943,50033,16500,16666,488,1215,0,0,0,0,0,0,0,,latest
221999,84800,86200,64300,61900,81387,84542,7500,12913,107,823,0,0,0,0,0,0,0,,latest
222053,32000,34800,26800,30100,36100,38758,5250,4727,670,1642,0,0,0,0,0,0,0,,latest
222062,27400,30900,22900,25500,32297,34643,3269,3277,39,88,0,0,0,0,0,0,0,,latest
222105,NA,NA,NA,NA,NA,48195,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
